KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ;  CID ;GSM ;DCS ; 3G L; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                ; REM                                           ; OZIN     ; OZIE     ;LOCK

/;Брест
 ;M;R  ;BR.; Брест               ;              ;    ;      ;    ;    ; 2   ;      ;         ;2  ;      ;    ;2018     ;                     ;                                               ;          ;          ;

$;M;R  ;BR.; Брест               ; BREST        ;227 ;  701 ; 23 ;456 ; 227 ; 1195 ;123456789;227; 4266 ;789 ;14.10.04 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки                 ; 52.086229; 23.696930;G
$;M;R  ;BR.; Брест               ;              ;    ;  701 ;    ;    ; 227 ; 1201 ;123456789;   ;      ;    ;26.07.16 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки                 ; 52.086229; 23.696930;G
$;M;R  ;BR.; Брест               ;              ;    ;  701 ;    ;    ; 227 ; 2139 ;8        ;   ;      ;    ;26.07.16 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки                 ; 52.086229; 23.696930;G
$;M;R  ;BR.; Брест               ;              ;    ;  701 ;    ;    ; 227 ; 2140 ;    34   ;   ;      ;    ;26.07.16 ; Машерова пр. 21     ; РУП "Белтелеком", трубостойки                 ; 52.086229; 23.696930;G
$;M;R  ;BR.; Брест               ; BREST        ;227 ;  702 ;  3 ;456 ; 227 ; 1208 ;123456789;227; 4268 ;012 ;14.10.04 ; Энгельса 3          ; Горисполком, трубостойки                      ; 52.093072; 23.681341;G
$;M;R  ;BR.; Брест               ;              ;    ;  702 ;    ;    ; 227 ; 4624 ;456      ;   ;      ;    ;14.10.04 ; Энгельса 3          ; Горисполком, трубостойки                      ; 52.093072; 23.681341;G
$;M;R  ;BR.; Брест               ; BREST        ;227 ;  703 ;12  ;456 ; 227 ; 1211 ;123456789;227; 4268 ;345 ;14.10.04 ; б-р Космонавтов 21  ; БрГУ, триподы                                 ; 52.098502; 23.694119;G
$;M;R  ;BR.; Брест               ; BREST        ;    ;  703 ;    ;    ; 227 ; 2198 ;     6   ;   ;      ;    ;08.01.23 ; б-р Космонавтов 21  ; БрГУ, триподы                                 ; 52.098502; 23.694119;G
$;M;R  ;BR.; Брест               ; BREST        ;    ;  703 ;    ;    ; 227 ;   24 ;12 45 78 ;   ;      ;    ;14.10.04 ; б-р Космонавтов 21  ; БрГУ, триподы                                 ; 52.098502; 23.694119;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ;  704 ; 23 ;456 ; 224 ; 1261 ; 23 56 89;224;  986 ;056 ;12.12.04 ; Пионерская 50       ; корпус 16 ОАО "БЭМЗ", трубостойки             ; 52.098028; 23.730682;G
$;M;R  ;BR.; Брест               ;              ;    ;  704 ;    ;    ; 224 ; 1302 ; 2  5  8 ;   ;      ;    ;12.12.04 ; Пионерская 50       ; корпус 16 ОАО "БЭМЗ", трубостойки             ; 52.098028; 23.730682;G
$;M;R  ;BR.; Брест               ; BREST        ;220 ;  705 ;123 ;456 ; 220 ; 1303 ;123456789;220;  986 ;789 ;24.12.04 ; Кижеватова 76       ; ж/д больница, трубостойки                     ; 52.106819; 23.690771;G
$;M;R  ;BR.; Брест               ;              ;    ;  705 ;    ;    ; 220 ; 1306 ;123456789;   ;      ;    ;09.08.16 ; Кижеватова 76       ; ж/д больница, трубостойки                     ; 52.106819; 23.690771;G
$;M;R  ;BR.; Брест               ;              ;    ;  705 ;    ;    ; 220 ; 2170 ;     2   ;   ;      ;    ;09.08.16 ; Кижеватова 76       ; ж/д больница, трубостойки                     ; 52.106819; 23.690771;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ;  706 ;123 ;456 ; 224 ; 1307 ;1 3  67 9;224;  564 ;01  ;14.12.04 ; Строительная 56     ; ПРУП "БЭТЗ", очистные, трубостойки            ; 52.116769; 23.739012;G
$;M;R  ;BR.; Брест               ;              ;    ;  706 ;    ;    ; 224 ; 1308 ;1     7  ;   ;      ;    ;05.12.15 ; Строительная 56     ; ПРУП "БЭТЗ", очистные, трубостойки            ; 52.116769; 23.739012;G
$;M;R  ;BR.; Брест               ; BREST        ;220 ;  707 ;123 ;456 ; 220 ; 1315 ;123456789;220;  564 ;234 ;14.10.04 ; Смирнова 66         ; ОАО "ГСКБ", трубостойки                       ; 52.103187; 23.646710;G
$;M;R  ;BR.; Брест               ; BREST        ;220 ;  708 ;123 ;456 ; 220 ; 1326 ;1 34 6789;220;  564 ;567 ;09.06.05 ; Катин Бор 105       ; ОАО "Брестодежда", трипод                     ; 52.142687; 23.668748;G
$;M;R  ;BR.; Брест               ; BREST        ;223 ;  709 ;123 ;456 ; 223 ; 1335 ;123456789;223;  564 ;8   ;12.10.04 ; Суворова 21         ; ОАО "БрестМаш", мачта                         ; 52.064426; 23.741596;G
$;M;R  ;BR.; Брест               ;              ;    ;  709 ;    ;    ; 223 ; 5607 ;1  4  7  ;223;  565 ;0   ;16.11.17 ; Суворова 21         ; ОАО "БрестМаш", мачта                         ; 52.064426; 23.741596;G
$;M;R  ;BR.; Брест               ;              ;    ;  709 ;    ;    ; 223 ; 2126 ;3 56     ;   ;      ;    ;16.11.17 ; Суворова 21         ; ОАО "БрестМаш", мачта                         ; 52.064426; 23.741596;G
$;M;R  ;BR.; Брест               ; PLOSKA       ;224 ;  710 ;123 ;456 ; 224 ; 1355 ;123   7  ;224;  565 ;123 ;26.05.05 ; Плоска, пл. N2      ; ОАО "БЭМЗ", мачта на земле                    ; 52.134317; 23.732565;G
$;M;R  ;BR.; Брест               ; BREST        ;224 ;  711 ;123 ;456 ; 224 ; 1356 ;123456789;224;  565 ;456 ;12.12.04 ; Московская 275      ; Дворец культуры профсоюзов, трубостойки       ; 52.099425; 23.769606;G
